category	experiment_A	experiment_B	plus_1_A	plus_2_A	minus_1_A	minus_2_A	plus_1_B	plus_2_B	minus_1_B	minus_2_B	window_A	window_B
similar	FUS_HepG2_ENCSR464OSH	TAF15_HepG2_ENCSR841EQA	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/secondary_results/bigwigs/scaled/plus/FUS_HepG2_ENCSR464OSH_IP_1.scaled.plus.bw	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/secondary_results/bigwigs/scaled/plus/FUS_HepG2_ENCSR464OSH_IP_2.scaled.plus.bw	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/secondary_results/bigwigs/scaled/minus/FUS_HepG2_ENCSR464OSH_IP_1.scaled.minus.bw	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/secondary_results/bigwigs/scaled/minus/FUS_HepG2_ENCSR464OSH_IP_2.scaled.minus.bw	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/secondary_results/bigwigs/scaled/plus/TAF15_HepG2_ENCSR841EQA_IP_1.scaled.plus.bw	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/secondary_results/bigwigs/scaled/plus/TAF15_HepG2_ENCSR841EQA_IP_2.scaled.plus.bw	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/secondary_results/bigwigs/scaled/minus/TAF15_HepG2_ENCSR841EQA_IP_1.scaled.minus.bw	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/secondary_results/bigwigs/scaled/minus/TAF15_HepG2_ENCSR841EQA_IP_2.scaled.minus.bw	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/reproducible_enriched_windows/FUS_HepG2_ENCSR464OSH.reproducible_enriched_windows.tsv.gz	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/reproducible_enriched_windows/TAF15_HepG2_ENCSR841EQA.reproducible_enriched_windows.tsv.gz
similar	PUM1_K562_ENCSR308YNT	PUM2_K562_ENCSR661ICQ	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/secondary_results/bigwigs/scaled/plus/PUM1_K562_ENCSR308YNT_IP_1.scaled.plus.bw	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/secondary_results/bigwigs/scaled/plus/PUM1_K562_ENCSR308YNT_IP_2.scaled.plus.bw	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/secondary_results/bigwigs/scaled/minus/PUM1_K562_ENCSR308YNT_IP_1.scaled.minus.bw	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/secondary_results/bigwigs/scaled/minus/PUM1_K562_ENCSR308YNT_IP_2.scaled.minus.bw	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/secondary_results/bigwigs/scaled/plus/PUM2_K562_ENCSR661ICQ_IP_1.scaled.plus.bw	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/secondary_results/bigwigs/scaled/plus/PUM2_K562_ENCSR661ICQ_IP_2.scaled.plus.bw	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/secondary_results/bigwigs/scaled/minus/PUM2_K562_ENCSR661ICQ_IP_1.scaled.minus.bw	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/secondary_results/bigwigs/scaled/minus/PUM2_K562_ENCSR661ICQ_IP_2.scaled.minus.bw	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/reproducible_enriched_windows/PUM1_K562_ENCSR308YNT.reproducible_enriched_windows.tsv.gz	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/reproducible_enriched_windows/PUM2_K562_ENCSR661ICQ.reproducible_enriched_windows.tsv.gz
similar	PCBP1_HepG2_ENCSR256CHX	PCBP2_HepG2_ENCSR339FUY	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/secondary_results/bigwigs/scaled/plus/PCBP1_HepG2_ENCSR256CHX_IP_1.scaled.plus.bw	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/secondary_results/bigwigs/scaled/plus/PCBP1_HepG2_ENCSR256CHX_IP_2.scaled.plus.bw	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/secondary_results/bigwigs/scaled/minus/PCBP1_HepG2_ENCSR256CHX_IP_1.scaled.minus.bw	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/secondary_results/bigwigs/scaled/minus/PCBP1_HepG2_ENCSR256CHX_IP_2.scaled.minus.bw	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/secondary_results/bigwigs/scaled/plus/PCBP2_HepG2_ENCSR339FUY_IP_1.scaled.plus.bw	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/secondary_results/bigwigs/scaled/plus/PCBP2_HepG2_ENCSR339FUY_IP_2.scaled.plus.bw	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/secondary_results/bigwigs/scaled/minus/PCBP2_HepG2_ENCSR339FUY_IP_1.scaled.minus.bw	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/secondary_results/bigwigs/scaled/minus/PCBP2_HepG2_ENCSR339FUY_IP_2.scaled.minus.bw	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/reproducible_enriched_windows/PCBP1_HepG2_ENCSR256CHX.reproducible_enriched_windows.tsv.gz	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/reproducible_enriched_windows/PCBP2_HepG2_ENCSR339FUY.reproducible_enriched_windows.tsv.gz
similar	TIA1_HepG2_ENCSR623VEQ	TIAL1_HepG2_ENCSR322HHA	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/secondary_results/bigwigs/scaled/plus/TIA1_HepG2_ENCSR623VEQ_IP_1.scaled.plus.bw	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/secondary_results/bigwigs/scaled/plus/TIA1_HepG2_ENCSR623VEQ_IP_2.scaled.plus.bw	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/secondary_results/bigwigs/scaled/minus/TIA1_HepG2_ENCSR623VEQ_IP_1.scaled.minus.bw	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/secondary_results/bigwigs/scaled/minus/TIA1_HepG2_ENCSR623VEQ_IP_2.scaled.minus.bw	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/secondary_results/bigwigs/scaled/plus/TIAL1_HepG2_ENCSR322HHA_IP_1.scaled.plus.bw	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/secondary_results/bigwigs/scaled/plus/TIAL1_HepG2_ENCSR322HHA_IP_2.scaled.plus.bw	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/secondary_results/bigwigs/scaled/minus/TIAL1_HepG2_ENCSR322HHA_IP_1.scaled.minus.bw	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/secondary_results/bigwigs/scaled/minus/TIAL1_HepG2_ENCSR322HHA_IP_2.scaled.minus.bw	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/reproducible_enriched_windows/TIA1_HepG2_ENCSR623VEQ.reproducible_enriched_windows.tsv.gz	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/reproducible_enriched_windows/TIAL1_HepG2_ENCSR322HHA.reproducible_enriched_windows.tsv.gz
similar	SAFB_K562_ENCSR484LAB	SAFB2_K562_ENCSR943MHU	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/secondary_results/bigwigs/scaled/plus/SAFB_K562_ENCSR484LAB_IP_1.scaled.plus.bw	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/secondary_results/bigwigs/scaled/plus/SAFB_K562_ENCSR484LAB_IP_2.scaled.plus.bw	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/secondary_results/bigwigs/scaled/minus/SAFB_K562_ENCSR484LAB_IP_1.scaled.minus.bw	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/secondary_results/bigwigs/scaled/minus/SAFB_K562_ENCSR484LAB_IP_2.scaled.minus.bw	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/secondary_results/bigwigs/scaled/plus/SAFB2_K562_ENCSR943MHU_IP_1.scaled.plus.bw	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/secondary_results/bigwigs/scaled/plus/SAFB2_K562_ENCSR943MHU_IP_2.scaled.plus.bw	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/secondary_results/bigwigs/scaled/minus/SAFB2_K562_ENCSR943MHU_IP_1.scaled.minus.bw	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/secondary_results/bigwigs/scaled/minus/SAFB2_K562_ENCSR943MHU_IP_2.scaled.minus.bw	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/reproducible_enriched_windows/SAFB_K562_ENCSR484LAB.reproducible_enriched_windows.tsv.gz	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/reproducible_enriched_windows/SAFB2_K562_ENCSR943MHU.reproducible_enriched_windows.tsv.gz
similar	CSTF2_HepG2_ENCSR384MWO	CSTF2T_HepG2_ENCSR919HSE	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/secondary_results/bigwigs/scaled/plus/CSTF2_HepG2_ENCSR384MWO_IP_1.scaled.plus.bw	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/secondary_results/bigwigs/scaled/plus/CSTF2_HepG2_ENCSR384MWO_IP_2.scaled.plus.bw	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/secondary_results/bigwigs/scaled/minus/CSTF2_HepG2_ENCSR384MWO_IP_1.scaled.minus.bw	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/secondary_results/bigwigs/scaled/minus/CSTF2_HepG2_ENCSR384MWO_IP_2.scaled.minus.bw	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/secondary_results/bigwigs/scaled/plus/CSTF2T_HepG2_ENCSR919HSE_IP_1.scaled.plus.bw	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/secondary_results/bigwigs/scaled/plus/CSTF2T_HepG2_ENCSR919HSE_IP_2.scaled.plus.bw	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/secondary_results/bigwigs/scaled/minus/CSTF2T_HepG2_ENCSR919HSE_IP_1.scaled.minus.bw	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/secondary_results/bigwigs/scaled/minus/CSTF2T_HepG2_ENCSR919HSE_IP_2.scaled.minus.bw	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/reproducible_enriched_windows/CSTF2_HepG2_ENCSR384MWO.reproducible_enriched_windows.tsv.gz	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/reproducible_enriched_windows/CSTF2T_HepG2_ENCSR919HSE.reproducible_enriched_windows.tsv.gz
similar	IGF2BP1_K562_ENCSR975KIR	IGF2BP2_K562_ENCSR062NNB	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/secondary_results/bigwigs/scaled/plus/IGF2BP1_K562_ENCSR975KIR_IP_1.scaled.plus.bw	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/secondary_results/bigwigs/scaled/plus/IGF2BP1_K562_ENCSR975KIR_IP_2.scaled.plus.bw	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/secondary_results/bigwigs/scaled/minus/IGF2BP1_K562_ENCSR975KIR_IP_1.scaled.minus.bw	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/secondary_results/bigwigs/scaled/minus/IGF2BP1_K562_ENCSR975KIR_IP_2.scaled.minus.bw	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/secondary_results/bigwigs/scaled/plus/IGF2BP2_K562_ENCSR062NNB_IP_1.scaled.plus.bw	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/secondary_results/bigwigs/scaled/plus/IGF2BP2_K562_ENCSR062NNB_IP_2.scaled.plus.bw	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/secondary_results/bigwigs/scaled/minus/IGF2BP2_K562_ENCSR062NNB_IP_1.scaled.minus.bw	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/secondary_results/bigwigs/scaled/minus/IGF2BP2_K562_ENCSR062NNB_IP_2.scaled.minus.bw	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/reproducible_enriched_windows/IGF2BP1_K562_ENCSR975KIR.reproducible_enriched_windows.tsv.gz	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/reproducible_enriched_windows/IGF2BP2_K562_ENCSR062NNB.reproducible_enriched_windows.tsv.gz
similar	FMR1_K562_ENCSR331VNX	FXR1_K562_ENCSR774RFN	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/secondary_results/bigwigs/scaled/plus/FMR1_K562_ENCSR331VNX_IP_1.scaled.plus.bw	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/secondary_results/bigwigs/scaled/plus/FMR1_K562_ENCSR331VNX_IP_2.scaled.plus.bw	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/secondary_results/bigwigs/scaled/minus/FMR1_K562_ENCSR331VNX_IP_1.scaled.minus.bw	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/secondary_results/bigwigs/scaled/minus/FMR1_K562_ENCSR331VNX_IP_2.scaled.minus.bw	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/secondary_results/bigwigs/scaled/plus/FXR1_K562_ENCSR774RFN_IP_1.scaled.plus.bw	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/secondary_results/bigwigs/scaled/plus/FXR1_K562_ENCSR774RFN_IP_2.scaled.plus.bw	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/secondary_results/bigwigs/scaled/minus/FXR1_K562_ENCSR774RFN_IP_1.scaled.minus.bw	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/secondary_results/bigwigs/scaled/minus/FXR1_K562_ENCSR774RFN_IP_2.scaled.minus.bw	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/reproducible_enriched_windows/FMR1_K562_ENCSR331VNX.reproducible_enriched_windows.tsv.gz	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/reproducible_enriched_windows/FXR1_K562_ENCSR774RFN.reproducible_enriched_windows.tsv.gz
similar	SRSF1_K562_ENCSR432XUP	SRSF7_K562_ENCSR468FSW	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/secondary_results/bigwigs/scaled/plus/SRSF1_K562_ENCSR432XUP_IP_1.scaled.plus.bw	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/secondary_results/bigwigs/scaled/plus/SRSF1_K562_ENCSR432XUP_IP_2.scaled.plus.bw	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/secondary_results/bigwigs/scaled/minus/SRSF1_K562_ENCSR432XUP_IP_1.scaled.minus.bw	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/secondary_results/bigwigs/scaled/minus/SRSF1_K562_ENCSR432XUP_IP_2.scaled.minus.bw	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/secondary_results/bigwigs/scaled/plus/SRSF7_K562_ENCSR468FSW_IP_1.scaled.plus.bw	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/secondary_results/bigwigs/scaled/plus/SRSF7_K562_ENCSR468FSW_IP_2.scaled.plus.bw	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/secondary_results/bigwigs/scaled/minus/SRSF7_K562_ENCSR468FSW_IP_1.scaled.minus.bw	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/secondary_results/bigwigs/scaled/minus/SRSF7_K562_ENCSR468FSW_IP_2.scaled.minus.bw	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/reproducible_enriched_windows/SRSF1_K562_ENCSR432XUP.reproducible_enriched_windows.tsv.gz	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/reproducible_enriched_windows/SRSF7_K562_ENCSR468FSW.reproducible_enriched_windows.tsv.gz
similar	DDX21_K562_ENCSR040QLV	DDX24_K562_ENCSR999WKT	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/secondary_results/bigwigs/scaled/plus/DDX21_K562_ENCSR040QLV_IP_1.scaled.plus.bw	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/secondary_results/bigwigs/scaled/plus/DDX21_K562_ENCSR040QLV_IP_2.scaled.plus.bw	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/secondary_results/bigwigs/scaled/minus/DDX21_K562_ENCSR040QLV_IP_1.scaled.minus.bw	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/secondary_results/bigwigs/scaled/minus/DDX21_K562_ENCSR040QLV_IP_2.scaled.minus.bw	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/secondary_results/bigwigs/scaled/plus/DDX24_K562_ENCSR999WKT_IP_1.scaled.plus.bw	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/secondary_results/bigwigs/scaled/plus/DDX24_K562_ENCSR999WKT_IP_2.scaled.plus.bw	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/secondary_results/bigwigs/scaled/minus/DDX24_K562_ENCSR999WKT_IP_1.scaled.minus.bw	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/secondary_results/bigwigs/scaled/minus/DDX24_K562_ENCSR999WKT_IP_2.scaled.minus.bw	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/reproducible_enriched_windows/DDX21_K562_ENCSR040QLV.reproducible_enriched_windows.tsv.gz	/tscc/projects/ps-yeolab5/rbp-portal/encode3/eclip/Skipper/2.0.0/v1/output/reproducible_enriched_windows/DDX24_K562_ENCSR999WKT.reproducible_enriched_windows.tsv.gz
